,Pressure,Temperature,Phase,Mass,S,H,V,Cp,Vis,F,Structure,Formula,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Mg#
0,12000.00,1403.15,liquid_0,8.832710,22.806191,-96293.861708,3.122492,11.690792,3.346,0.9325753705723081,,,55.6658,1.98186,11.8505,1.80311,14.4905,1.69823,0.227988,3.05735,6.18789,3.03668,2.7
1,12000.00,1403.15,clinopyroxene_0,0.046431,0.103737,-495.856014,0.013250,0.051109,,0.9325753705723081,cpx,Na0.13Ca0.65Fe''0.67Mg0.26Fe'''0.14Ti0.03Al0.33Si1.80O6,45.5453,1.11161,7.0496,4.62191,20.1571,0,4.41848,15.4495,1.64642,0,
2,12000.00,1403.15,aenigmatite,0.083698,0.191063,-707.433143,0.022201,0.089114,,0.9325753705723081,,Na2Fe5TiSi6O20,,,,,,,,,,,
3,12000.00,1403.15,feldspar_0,0.248056,0.610360,-3261.853892,0.095851,0.302566,,0.9325753705723081,,K0.21Na0.64Ca0.15Al1.15Si2.85O8,63.9463,0,21.8395,0,0,0,0,3.09684,7.42108,3.69622,
4,12000.00,1403.15,spinel_0,0.018517,0.038821,-96.265283,0.003881,0.016844,,0.9325753705723081,,Fe''1.50Mg0.05Fe'''0.71Al0.18Cr0.00Ti0.55O4,0,20.0126,4.25975,25.8453,48.9385,0,0.943822,0,0,0,
0,12000.00,1401.15,liquid_0,8.240182,21.254827,-89745.805005,2.912293,10.897981,3.341,0.8980512504870105,,,55.7102,1.90499,11.7561,1.8076,14.507,1.82035,0.21242,3.04092,6.15375,3.0867,2.5
1,12000.00,1401.15,clinopyroxene_0,0.063142,0.140866,-672.593373,0.018005,0.069407,,0.8980512504870105,cpx,Na0.13Ca0.65Fe''0.67Mg0.25Fe'''0.14Ti0.03Al0.32Si1.80O6,45.553,1.05869,6.96078,4.68346,20.3766,0,4.25596,15.4616,1.64995,0,
2,12000.00,1401.15,aenigmatite,0.191013,0.435746,-1614.883645,0.050667,0.203342,,0.8980512504870105,,Na2Fe5TiSi6O20,,,,,,,,,,,
3,12000.00,1401.15,feldspar_0,0.341605,0.839683,-4486.575950,0.132158,0.416196,,0.8980512504870105,,K0.23Na0.63Ca0.14Al1.14Si2.86O8,64.113,0,21.6429,0,0,0,0,2.89571,7.27693,4.07149,
0,12000.00,1399.15,liquid_0,7.401672,19.075587,-80613.794357,2.617506,9.781708,3.350,0.8881890009269393,,,55.8703,1.83503,11.6011,1.81173,14.4192,1.90829,0.174155,3.09601,6.14645,3.13772,2.1
1,12000.00,1399.15,olivine_0,0.070444,0.148607,-482.460230,0.017161,0.069143,,0.8881890009269393,,(Ca0.01Mg0.11Fe''0.72Mn0.17Co0.00Ni0.00)2SiO4,30.4966,0,0,0,52.5879,12.4281,4.00636,0.481016,0,0,
2,12000.00,1399.15,clinopyroxene_0,0.048206,0.107251,-512.264926,0.013729,0.052832,,0.8881890009269393,cpx,Na0.13Ca0.67Fe''0.67Mg0.22Fe'''0.15Ti0.03Al0.32Si1.80O6,45.3586,1.09667,6.94337,4.91241,20.3359,0,3.80391,15.8731,1.67602,0,
3,12000.00,1399.15,aenigmatite,0.223512,0.509543,-1890.111647,0.059287,0.237900,,0.8881890009269393,,Na2Fe5TiSi6O20,,,,,,,,,,,
4,12000.00,1399.15,feldspar_0,0.498092,1.222921,-6534.244720,0.192902,0.606143,,0.8881890009269393,,K0.25Na0.62Ca0.13Al1.13Si2.87O8,64.2307,0,21.4793,0,0,0,0,2.73328,7.11034,4.44639,
