,Pressure,Temperature,Phase,Mass,S,H,V,Cp,Vis,Structure,Formula,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#
0,2000.00,1848.15,liquid_0,99.568002,298.403937,-1147590.134743,37.448838,148.788232,1.075,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1843.15,liquid_0,99.568002,298.000858,-1148334.075916,37.436825,148.788237,1.089,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1838.15,liquid_0,99.568002,297.596685,-1149078.017114,37.424813,148.788242,1.104,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1833.15,liquid_0,99.568002,297.191411,-1149821.958334,37.412801,148.788247,1.118,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1828.15,liquid_0,99.568002,296.785029,-1150565.899579,37.400790,148.788251,1.133,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1823.15,liquid_0,99.568002,296.377535,-1151309.840847,37.388779,148.788256,1.148,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1818.15,liquid_0,99.568002,295.968922,-1152053.782138,37.376768,148.788261,1.163,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1813.15,liquid_0,99.568002,295.559183,-1152797.723454,37.364758,148.788265,1.178,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1808.15,liquid_0,99.568002,295.148313,-1153541.664792,37.352749,148.788270,1.193,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1803.15,liquid_0,99.568002,294.736306,-1154285.606155,37.340740,148.788275,1.208,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1798.15,liquid_0,99.568002,294.323154,-1155029.547541,37.328732,148.788280,1.223,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1793.15,liquid_0,99.568002,293.908852,-1155773.488951,37.316724,148.788284,1.238,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1788.15,liquid_0,99.568002,293.493392,-1156517.430385,37.304716,148.788289,1.254,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1783.15,liquid_0,99.568002,293.076770,-1157261.371842,37.292709,148.788294,1.269,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1778.15,liquid_0,99.568002,292.658978,-1158005.313324,37.280703,148.788299,1.285,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1773.15,liquid_0,99.568002,292.240009,-1158749.254829,37.268697,148.788303,1.300,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1768.15,liquid_0,99.568002,291.819857,-1159493.196358,37.256692,148.788308,1.316,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1763.15,liquid_0,99.568002,291.398515,-1160237.137910,37.244687,148.788313,1.332,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1758.15,liquid_0,99.568002,290.975977,-1160981.079487,37.232682,148.788318,1.348,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1753.15,liquid_0,99.568002,290.552235,-1161725.021087,37.220678,148.788323,1.364,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1748.15,liquid_0,99.568002,290.127283,-1162468.962712,37.208675,148.788327,1.380,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
